TaxonID;Kännetecken;Namn;Latin
102924;En svart och gultecknad stor spinnare som förekommer mycket lokalt på några få blockrika fjälltoppar i norra Sverige, Norge och Finland. Fram till 1990-talets början hade bara några få exemplar påträffats i Sverige. Vingspann hane 42–47 mm, hona 45–49,5 mm. Antenner svartbruna–svarta, hos hanen med kort, dubbel sågtandning och kort ciliering, hos honan med kortare sågtandning. Kroppen är gråsvart med undantag av halskragen och främre halvan av vinglocken som är ljust gräddgula. Bakkroppsspetsen är gul. Framvingarna är gråsvarta med fem ljust gräddgula tvärband av fläckar som oftast är störst utmed framkanten. Bakvingarna är något ljusare gråsvarta med yttre halvan närmast ytterkanten gul–apelsinfärgad och närmare framhörnet mer röd. Vingarna är delvis ganska tunnfjälliga vilket särskilt i den inre delen gör dem något genomskinliga. Honan har lite kraftigare kropp än hanen och något bredare framvingar, vanligen med lite större gräddgula fläckar, och runt bakkroppssegmentet nio saknas den smala gula linje som finns hos hanen. Arten varierar något, främst i framvingarnas gräddgula fläckar, vilka hos båda könen kan vara större eller mindre, och i bakvingarnas gul–apelsinfärgade fält som kan variera i utbredning. Artens storlek och karakteristiska utseende gör att den inte kan förväxlas med någon annan art i Norden.Ägget är klotformigt med plattad undersida och ljustgult, men det mörknar strax före kläckningen. Larven är som fullvuxen 50–55 mm lång. Den är svart med tvåfärgad behåring i svarta och gulaktiga–brunfärgade tvärband. Huvudet är glänsande svart. Puppan är ganska kraftig, 20–25 mm lång och glänsande svart. Kremastret är plattat och har i bakänden en delad grupp av bortåt 50 slanka, krokböjda borst.;Nordisk igelkottsspinnare;Acerbia alpina
6009808;;Arekasnigelspinnare;Acharia stimulea
100158;En 7–7.5 mm lång kortvinge med påfallande starkt tillplattad kroppsbyggnad och kraftiga extremiteter. Kroppen är glänsande brun, täckvingarna brungula med mörkare bas, bakkroppsspets, antenner och ben brungula.;�;Achenium humile
201190;En stor och mycket karakteristisk svärmare som är mytomspunnen för mellankroppens dödskalleteckning och fjärilens förmåga att kunna pipa. Den iakttas inte varje år i Sverige.Vingspann hane 94–118 mm, hona 107–131 mm. Den är Europas största och kraftigaste svärmarart. Könen är i stort sett lika och skiljs lättast på antennerna som hos hanen är 15–20 % längre och något kraftigare. Huvudet är stort och svartbrunt. Mellankroppen är svartbrun med tydlig, ljusare dödskalleliknande teckning på ryggen. Bakkroppen är gul med tydliga, svarta tvärband och med ett brett, blått längsband på ryggen. Framvingarna är svartbruna med flera svarta, utåt vågtandade tvärlinjer. I diskfältet finns en mindre, vit diskfläck och utanför yttre tvärlinjen mot framkanten ett diffust, ljusare, gulbrunt fält. Bakvingarna är ockragula med två svarta tvärlinjer och svarta vingribbor. Arten kan variera i grundfärg, teckningarnas tydlighet och bakvingarnas mörka band, och även dödskallefläcken kan variera från ljusare till mörkare. Dödskallesvärmarens betydande storlek, kraftiga kropp och mer eller mindre tydliga dödskalleteckning gör arten omisskännlig i Europa. I Sydostasien förekommer dock ytterligare två Acherontia-arter som påminner om A. atropos. Migranter av den ena arten, A. styx, kan nå Mellan­östern och Turkiet.Ägget är ovalt, jämförelsevis litet (1,5 x 1,2 mm) och matt grönaktigt. Den fullvuxna larven är 120–130 mm lång. Vuxna larver finns i tre färgformer: en gul, en grön och en mer ovanlig gråbrun och mörkt marmorerad form. På sidorna av segmenten 4–10 finns breda, blå snedband, ibland möts dessa på den bakre delen av ryggsidan som har flera punktformiga, svartaktiga fläckar. Analhornet är S-formigt, gult och täckt av små korta taggar. Huvudet har samma färg som kroppen. Det karakteristiska, böjda analhornet utvecklas först i larvens sista stadium. Puppan är 70–80 mm lång och glänsande mahognybrun. Kremastret är plattat och spetsigt.;D�dskallesv�rmare;Acherontia atropos
215533;;Bj�rkgulhornspinnare;Achlya flavicornis
215305;;Mindre vaxmott;Achroia grisella
104426;;�;Acidota crenata
104427;;�;Acidota cruentata
104428;;�;Acidota quadrata
103690;;�;Acilius canaliculatus
103689;;�;Acilius sulcatus
206048;Som namnet antyder förekommer denna störart normalt i Sibirien. Rymlingar från europeiska störodlingar har vid enstaka tillfällen påträffats i Sverige. Totallängd 200 cm. Kroppen är långsträckt och avsmalnande mot ryggen. Huvudet är relativt kort och kraftigt avsmalnande framåt med en lång, spetsig nos. Munnen - som är tvärställd, relativt liten och sitter på undersidan av nosen - är utstjälpbar till ett kort rör. Tänder saknas helt. Gälar med breda, solfjäderformiga gälräfständer som har små knölar längs kanten. Framför munnen sitter fyra kraftiga, släta skäggtömmar på rad. Mellan gällocket och bröstgördeln finns en relativt bred glipa. Huvudet täcks till stor del av kraftiga benplåtar. Från nacken till första ryggfenan finns en rad med mer eller mindre rundade benplåtar som är vikta över nacklinjen; varje benplåt har en mittkam. Längs sidan löper liknande benplåtar som är smalare än de på ryggen, alla med en längsgående mittköl. Sidoplåtarna är mycket mindre än rygg- och bukplåtarna. Ytterligare en rad benplåtar finns längs vardera kanten av buksidan, mellan bröstfenan och bukfenan. Nedanför stjärtfenans överkant sitter långsträckta, tätt packade rombiska ganoidfjäll.Ryggfenan är liten och har en lång främre lob, konkav ytterkant och ett skarpt bakre hörn. Analfenan är smal och mer eller mindre trekantig. Bröstfenorna är breda, kraftiga och trekantiga med rak ytterkant. Bukfenorna är små och placerade långt bak på buken.Kroppsfärgen är ljusgrå till mörkbrun, något ljusare på buken. Fenorna är bruna med ljusare kanter.Fenstrålar och benplåtar: D 30-56, A 17-33, ryggplåtar 10-20, sidoplåtar 32-62, bukplåtar 7-16.;Sibirisk st�r;Acipenser baeri
206049;Rysk stör förekommer naturligt i Kaspiska och Svarta havet inklusive tillrinnande floder. Förrymda och avsiktligt utplanterade individer påträffas ibland även i andra vattendrag i Europa.kännetecken Totallängd 240 cm. Kroppen är långsträckt samt avsmalnande mot ryggen och bredare mot buken. Huvudet är relativt kort och kraftigt avsmalnande framåt med en kort, rundad nos. Munnen - som är tvärställd, relativt liten och sitter på undersidan av nosen - är utstjälpbar till ett kort rör. Tänder saknas helt. Gälar med smala gälräfständer. Nära nosspetsen sitter fyra kraftiga skäggtömmar på rad. Mellan gällocket och bröstgördeln finns en relativt bred glipa. Huvudet täcks till stor del av kraftiga benplåtar. Från nacken till första ryggfenan finns en rad med mer eller mindre rundade benplåtar som är vikta över nacklinjen; varje benplåt har en mittkam. Längs sidan löper liknande benplåtar som är smalare än de på ryggen; alla med en längsgående mittköl. Sidoplåtarna blir gradvis mindre bakåt och är svåra att urskilja där plåtraden böjer av uppåt på stjärtfenan. Ytterligare en rad benplåtar finns längs vardera kanten av buksidan, mellan bröstfenan och bukfenan. Mycket mindre benplåtar finns över stora delar av kroppen; de mellan sidoplåtarna och ryggplåtarna är något större och stjärnformiga. Fjäll finns nedanför stjärtfenans överkant i form av långsträckta, tätt packade ganoidfjäll.Ryggfenan är liten och har en lång främre lob, konkav ytterkant och ett skarpt bakre hörn. Analfenan är smal och mer eller mindre trekantig. Bröstfenorna är breda, kraftiga och trekantiga med rak ytterkant. Bukfenorna är små och placerade långt bak på buken.Kroppen är gråsvart till mörkgrön upptill, gråbrun mot sidorna och ljusgrå till gulvitaktig på buken. Fenorna är grå med ljusare kanter.Fenstrålar och benplåtar: D 27-51, A 18-33, ryggplåtar 8-18, sidoplåtar 24-50, bukplåtar 6-13.;Rysk st�r;Acipenser gueldenstaedtii
100002;Atlantisk stör observerades tidigare regelbundet längs de svenska kusterna. De störar som numera påträffas tillfälligt härrör från rymlingar och avsiktligt utplanterade individer.Totallängd 430 cm. Kroppen är långsträckt samt avsmalnande mot ryggen och bredare mot buken. Huvudet är relativt kort och kraftigt avsmalnande framåt. Nosen är lång och verkar spetsig från sidan, men uppifrån sett är den tillplattad med rundat avslut hos större individer. Hos unga individer är nosen påfallande lång och spetsig. Munnen - som är tvärställd, relativt liten och sitter på undersidan av nosen - är utstjälpbar till ett kort rör. Tänder saknas helt. Gälar med smala gälräfständer. Ungefär halvvägs mellan munnen och nosspetsen sitter fyra kraftiga skäggtömmar på rad. Mellan gällocket och bröstgördeln finns en relativt bred glipa. Huvudet täcks till stor del av kraftiga benplåtar. Från nacken till första ryggfenan finns en rad med mer eller mindre rundade benplåtar som är vikta över nacklinjen. Varje benplåt har en mittkam som är högre hos unga individer (som har smalare rygg) men relativt trubbig hos vuxna djur med en bredare rygg. Längs sidan löper liknande benplåtar som är smalare än de på ryggen; alla med en längsgående mittköl. Sidoplåtarna blir gradvis mindre bakåt och är svåra att urskilja där plåtraden böjer av uppåt på stjärtfenan. Ytterligare en rad benplåtar finns längs vardera kanten av buksidan, mellan bröstfenan och bukfenan, och dessutom finns 2-3 rader framför analfenan. Mycket mindre benplåtar finns över stora delar av kroppen, och ytterligare små benplåtar samlas runt analfenan och stjärtspolen. Fjäll finns nedanför stjärtfenans överkant i form av långsträckta, tätt packade ganoidfjäll. Ryggfenan är liten och har en lång främre lob, konkav ytterkant och ett skarpt bakre hörn. Analfenan är smal och mer eller mindre trekantig. Bröstfenorna är breda, kraftiga och trekantiga med rak ytterkant. Bukfenorna är små och placerade långt bak på buken.Färgen är grå eller brungrå utan särskilda markeringar.Fenstrålar och benplåtar: D 30-46, A 26-28, ryggplåtar 7-16 (medeltal 10; 8-11 i Sverige), sidoplåtar 23-35 (medeltal 28; 23-30 i Sverige), bukplåtar 9-11.;Atlantisk st�r;Acipenser oxyrinchus
206050;;Sterlett;Acipenser ruthenus
267040;;�;Acipenser stellatus
249905;I Sverige har europeisk stör med säkerhet bara påträffats en gång. Den kan möjligen bli upp till 600 cm lång och skulle därmed vara den största arten i släktet Acipenser som påträffats i Sverige.Totallängd 350 cm (enligt vissa uppgifter 600 cm). Kroppen är långsträckt, avsmalnande mot ryggen och bredare mot buken. Huvudet är relativt kort och kraftigt avsmalnande framåt. Nosen är lång och verkar spetsig från sidan, men uppifrån sett är den tillplattad med rundat avslut hos större individer. Munnen - som är tvärställd, relativt liten och sitter på undersidan av nosen - är utstjälpbar till ett kort rör. Tänder saknas helt. Gälar med smala gälräfständer. Ungefär halvvägs mellan munnen och nosspetsen sitter fyra kraftiga skäggtömmar på rad. Mellan gällocket och bröstgördeln finns en relativt bred glipa. Huvudet täcks till stor del av kraftiga benplåtar. Från nacken till första ryggfenan finns en rad med mer eller mindre rundade benplåtar som är vikta över nacklinjen. Varje benplåt har en mittkam som är högre hos unga individer (som har smalare rygg) men relativt trubbig hos vuxna djur med en bredare rygg. Längs sidan löper liknande benplåtar som är smalare än de på ryggen; alla med en längsgående mittköl. Sidoplåtarna blir gradvis mindre bakåt och är svåra att urskilja där plåtraden böjer av uppåt på stjärtfenan. Ytterligare en rad benplåtar finns längs vardera kanten av buksidan, mellan bröstfenan och bukfenan. Mycket mindre benplåtar finns över stora delar av kroppen, och ytterligare små benplåtar samlas runt analfenan och stjärtspolen. Fjäll finns nedanför stjärtfenans överkant i form av långsträckta, tätt packade ganoidfjäll.Ryggfenan är liten och har en lång främre lob, konkav ytterkant och ett skarpt bakre hörn. Analfenan är smal och mer eller mindre trekantig. Bröstfenorna är breda, kraftiga och trekantiga med en kraftig första stråle och rak ytterkant. Bukfenorna är små och placerade långt bak på buken.Färgen är grå eller brungrå utan särskilda markeringar.Fenstrålar och benplåtar: D 39-50, A 23-28, ryggplåtar 9-16 (medeltal 13-14), sidoplåtar 32-39 (medeltal 32-35), bukplåtar 9-14.;Europeisk st�r;Acipenser sturio
214880;;Granv�rvecklare;Acleris abietana
214892;;Arktisk v�rvecklare;Acleris arcticana
214890;;Smultronh�stvecklare;Acleris aspersana
214877;;T�rnrosvecklare;Acleris bergmanniana
214878;;Jordgubbsvecklare;Acleris comariana
214888;;Rosenv�rvecklare;Acleris cristana
249188;;Jolsterh�stvecklare;Acleris effractana
214884;;Inbuktad videh�stvecklare;Acleris emargana
214898;;Glansig bokv�rvecklare;Acleris ferrugana
214906;;Odonv�rvecklare;Acleris fimbriana
214876;;L�nnbredvecklare;Acleris forsskaleana
214893;;Videv�rvecklare;Acleris hastiana
214875;;Rosensommarvecklare;Acleris holmiana
214895;;Ljungv�rvecklare;Acleris hyemana
214897;;Rostgr� v�rvecklare;Acleris implexana
250432;;Almv�rvecklare;Acleris kochiella
214879;;Fl�ckh�stvecklare;Acleris laterana
214904;;Sm�prickig bl�b�rsv�rvecklare;Acleris lipsiana
214903;;Gr�n ekv�rvecklare;Acleris literana
214901;;Bj�rkv�rvecklare;Acleris logiana
214886;;Fackelrosv�rvecklare;Acleris lorquiniana
214881;;Glansig bl�b�rsv�rvecklare;Acleris maccana
214899;;Matt bj�rkv�rvecklare;Acleris notana
100160;;Mindre aspv�rvecklare;Acleris obtusana
100161;;Nyponh�stvecklare;Acleris permutana
100162;Med sitt vingspann på 12-15 mm hör arten till våra mindre vecklare. Framvingarnas grundfärg är blekgul med lätt pärlglans och är överlagrad av ett finmaskigt ockragult-rostfärgat nätmönster. Hos flertalet exemplar finns antydan till en mörkare, trekantig framkantsfläck. Höstgenerationen förefaller genomgående vara något mörkare i färgen. Huvudet och mellankroppen överensstämmer i allmänhet i färg med framvingarnas nätmönster. Bakvingarna är enfärgat grå. Arten kan förväxlas med främst glansig bokvårvecklare Acleris ferrugana och matt björkvårvecklare A. notana men har otydligare framkantsfläck och är genomsnittligt mindre och mer bredvingad. Säkrast skiljs den från dessa släktingar på genitalierna.;Brun ekv�rvecklare;Acleris quercinana
214883;;Sikelh�stvecklare;Acleris rhombana
102360;En ganska stor vecklare med en vingbredd på 23-28 mm. Framvingens grundfärg grå med mycket små mörka prickar och linjer samt några färre och större utspridda diffusa mörka fläckar. Bakvingarna något glänsande och ljust beigegrå med svag nätteckning. Fjärilen är ganska konstant och föga variabel i grundfärg och teckning (Svensson 2006).;St�rre aspv�rvecklare;Acleris roscidana
214905;;Hallonv�rvecklare;Acleris rufana
6010293;;Raspv�rvecklare;Acleris scabrana
102361;Vingbredd 16–20 mm. Detta är en ganska variabel medelstor vecklarart med nästan jämnbreda framvingar, vilkas framkanter är något konkava och ruggade av utvinklade fjäll, utkanten är något insvängd bakom spetsen och vingytan ofta murrigt färgad i grått, brunt och rött, samt överkorsad av ett par tunna snedlinjer av resta svarta fjäll. Ibland förekommer former med klarare gula eller vita färger och avsatt mörkare trekantig framkantsfläck. Bakvingarna är mest mörkgrå. Fjärilen förväxlas lätt med vissa former av videvårvecklare Acleris hastiana och granvårvecklare A. nigrilineana. En mer utförlig beskrivning ges av Benander (1950) under namnet Peronea logiana och färgbilder finns i Razowski (2001) och i synnerhet i Bradley et al. (1973).;Olvonv�rvecklare;Acleris schalleriana
214891;;�lggr�sh�stvecklare;Acleris shepherdana
214882;;L�vskogsh�stvecklare;Acleris sparsana
214887;;H�ggv�rvecklare;Acleris umbrana
214889;;Vitbrokig rosenh�stvecklare;Acleris variegana
104034;;Gulh�rig skinnarbagge;Aclypea opaca
100163;En svart, cirka 14 mm lång skalbagge som är ganska bred med kraftiga ben. Antennerna är tydliga och de fyra sista lederna är mycket bredare än de föregående och bildar en tydlig klubba. På täckvingarna finns några kraftiga längsribbor.;V�gbandad skinnarbagge;Aclypea undata
100164;En ganska bred, svart 7–11 mm lång långhorning med antenner som är längre än halva kroppen. Täckvingarnas sidokant är gul, och ibland kan den gula färgen breda ut sig på sidorna av täckvingarna. De första antennlederna samt benen (skenben och tarser) är normalt tvåfärgade i gulbrunt och svart. Täckvingarnas spets har en rundad urskärning som bildar två skarpa hörn i spetsen på varje täckvinge. Den mycket närstående arten korthårig kulhalsbock A. septentrionis har helsvarta ben och antenner samt saknar urskärning i täckvingespetsen. Viss variation förekommer dock hos båda arterna.;Kantad kulhalsbock;Acmaeops marginatus
100165;En svart 7–10 mm lång långhorning med ganska bred kropp och antenner som är längre än halva kroppen. Ytterkanten på täckvingarna är gulbruna, och i mycket sällsynta fall kan hela täckvingarna vara gulbruna. Färgen på antenner och ben är svarta till skillnad från den mycket närstående kantad kulhalsbock A. marginata, som har delvis gulbruna ben och antenner.;Korth�rig kulhalsbock;Acmaeops septentrionis
100166;En ganska bred och cirka 10 mm lång, svart skalbagge med antenner som är längre än halva kroppen. Ovansidan är täckt med en ganska lång och tät, grönaktig behåring.;Gr�n kulhalsbock;Acmaeops smaragdulus
214791;;Gr�palpmal;Acompsia cinerella
6010196;;Ockrapalpmal;Acompsia schmidtiella
102362;Vingbredd 16–17 mm. Framvingarna är måttligt glänsande, gråaktigt bruna, i det närmaste triangelformade och med sned utkant. Även fransar, huvud och mellankropp har denna färg. I vingmitten finns tre distinkta, långsträckta, mörkbruna punkter, två snett över varandra en tredjedel från basen och en två tredjedelar därifrån. Bakvingarna är väl så breda som framvingarna, gråfärgade med ljusare fransar, med en ytterst svagt insvängd ytterkant, som därför bara antydningsvis indikerar släktskap med stävmalarna. Palperna är långa och kraftigt uppsvängda, vilket däremot är typiskt för stävmalar, i synnerhet för släktet Acompsia. Honan är i genomsnitt något mindre, har otydligare inre fläckar i framvingen och en kraftig bakkropp som hämmar flygförmågan. Honan är sällsynt och sitter oftast längre ner i vegetationen, medan hannen flyger aktivt eller sitter högt. Denna relativt stora stävmal kan förväxlas med några andra svenska malar. Grå bågpalpmal (Acompsia cinerella) saknar punkter i framvingen men ser i övrigt likadan ut. Arter inom släktet Helcystogramma (Brachmia), exempelvis kvickrotbågpalpmal H. lutatella och rödgul gräsbågpalpmal H. rufescens, kan också i hastigheten förväxlas med strandveronikemalen men har brunare färg, smalare framvingar och schatteringar i grundfärgen. En art som förekommer i bl.a. Centraleuropa, Acompsia tripunctella, kan mycket lätt förväxlas med strandveronikemalen, men har ett par millimeter större vingbredd och skiljer sig också i genitaliernas anatomi. Arten är avbildad i originalbeskrivningen (Svensson, 1966).;Strandveronikemal;Acompsia subpunctella
257385;;�;Acompsomyces pauperculus
6010408;;Sydglansfly;Acontia lucida
100892;Det lilla flyets framvingar är omisskännligt tecknade i lika delar gult och svart utan större variation i mönstret. Mellankroppen är likadant färgad. Bakvingar och bakkropp är grå. Fjärilens färgteckning utgör sannolikt en mimikry av gaddsteklar motverkande attacker av fåglar och samtidigt formupplösande för rovinsekter då den under dagtid vilar i blommor. Arten kan något likna vecklare i släktet Aethes, men dessa arter har gul och rödbrun teckning. Vingspann 18–22 mm.;�kervindefly;Acontia trabealis
